"id","vehicle_manufacturer_id","name","created_at","updated_at","vehicle_type_id","seats","doors"
116,13,"GLA250","2019-01-28 02:53:37.484648","2019-01-28 02:53:37.484648",6,5,4
117,13,"GLA45","2019-01-28 02:53:37.509092","2019-01-28 02:53:37.509092",6,5,4
118,13,"GLC200","2019-01-28 02:53:37.532732","2019-01-28 02:53:37.532732",6,5,4
119,13,"GLC250","2019-01-28 02:53:37.5564","2019-01-28 02:53:37.5564",6,5,4
120,13,"GLC45","2019-01-28 02:53:37.580125","2019-01-28 02:53:37.580125",6,5,4
121,13,"CLA200","2019-01-28 02:53:37.619342","2019-01-28 02:53:37.619342",1,5,4
122,13,"CLA250","2019-01-28 02:53:37.643311","2019-01-28 02:53:37.643311",1,5,4
123,13,"CLA45","2019-01-28 02:53:37.669216","2019-01-28 02:53:37.669216",1,5,4
124,13,"E200","2019-01-28 02:53:37.693301","2019-01-28 02:53:37.693301",1,5,4
125,13,"E250","2019-01-28 02:53:37.717103","2019-01-28 02:53:37.717103",1,5,4
126,13,"E300","2019-01-28 02:53:37.740769","2019-01-28 02:53:37.740769",3,4,2
114,11,"MUSTANG","2019-01-28 02:53:37.410283","2019-01-28 02:53:37.410283",3,4,2
128,13,"E43","2019-01-28 02:53:37.787697","2019-01-28 02:53:37.787697",1,5,4
127,13,"E350","2019-01-28 02:53:37.764215","2019-01-28 02:53:37.764215",1,5,4
129,13,"E63s","2019-01-28 02:53:37.811378","2019-01-28 02:53:37.811378",1,5,4
130,13,"GLE250d","2019-01-28 02:53:37.834947","2019-01-28 02:53:37.834947",6,5,4
131,13,"GLE400","2019-01-28 02:53:37.859292","2019-01-28 02:53:37.859292",6,5,4
132,13,"GLE43","2019-01-28 02:53:37.883225","2019-01-28 02:53:37.883225",3,5,4
133,13,"CLS400","2019-01-28 02:53:37.906951","2019-01-28 02:53:37.906951",3,4,4
135,13,"S-CLASS","2019-01-28 02:53:37.956206","2019-01-28 02:53:37.956206",1,5,4
